target,feature,group_lead,group_type,importance_mean,importance_std
shd_moderate_or_greater_flag,V4_total_power,V4,total_power,8.92550765969613e-05,5.888482403077768e-05
shd_moderate_or_greater_flag,V4_dominant_freq,V4,dominant_freq,-4.2740256670348306e-05,5.863954647653235e-05
shd_moderate_or_greater_flag,V4_spectral_entropy,V4,spectral_entropy,0.0009423063725302772,0.00011588339162546967
shd_moderate_or_greater_flag,V5_mean,V5,mean,-9.566039606230259e-05,0.00011771660950138192
shd_moderate_or_greater_flag,V5_std,V5,std,0.00018552550308437166,0.00018123763731056204
shd_moderate_or_greater_flag,V5_min,V5,min,1.1476197375270836e-05,4.363913284145756e-05
shd_moderate_or_greater_flag,V5_max,V5,max,0.00021366315644986145,0.00029260566068346354
shd_moderate_or_greater_flag,V5_rms,V5,rms,1.3115654143280864e-05,5.790270169235555e-06
shd_moderate_or_greater_flag,V5_energy,V5,energy,4.7048596548671105e-05,0.0001534792444272741
shd_moderate_or_greater_flag,V5_skewness,V5,skewness,-3.366605409451662e-05,4.882545366645156e-05
shd_moderate_or_greater_flag,V5_kurtosis,V5,kurtosis,-3.614430269713864e-05,5.635132836710208e-05
shd_moderate_or_greater_flag,V5_zcr,V5,zcr,5.6389687435620674e-05,3.375650018304989e-05
shd_moderate_or_greater_flag,V5_lf_power,V5,lf_power,0.00036971656461362026,0.00010894068114490531
shd_moderate_or_greater_flag,V5_ecg_band_power,V5,ecg_band_power,0.0005321752922426759,0.00010228585787631549
shd_moderate_or_greater_flag,V5_hf_power,V5,hf_power,1.544139513953713e-05,3.7513267523700585e-05
shd_moderate_or_greater_flag,V5_total_power,V5,total_power,-0.00016222996621961805,2.5903013999099852e-05
shd_moderate_or_greater_flag,V5_dominant_freq,V5,dominant_freq,-1.1971847095937348e-05,4.105709696116614e-05
shd_moderate_or_greater_flag,V5_spectral_entropy,V5,spectral_entropy,0.0005842947667013876,0.0006570146560114866
shd_moderate_or_greater_flag,V6_mean,V6,mean,-4.632418541878902e-05,8.557030757872567e-05
shd_moderate_or_greater_flag,V6_std,V6,std,0.00047124850351898395,0.00021822221141311289
shd_moderate_or_greater_flag,V6_min,V6,min,-1.898719698654183e-05,0.00010382226231317244
shd_moderate_or_greater_flag,V6_max,V6,max,-7.701634119072765e-06,7.656348915381316e-05
shd_moderate_or_greater_flag,V6_rms,V6,rms,5.829603251454874e-05,4.038418261341348e-05
shd_moderate_or_greater_flag,V6_energy,V6,energy,-0.00012273049618358734,6.0128601867076676e-05
shd_moderate_or_greater_flag,V6_skewness,V6,skewness,0.00021495947110357073,0.00017925940064526685
shd_moderate_or_greater_flag,V6_kurtosis,V6,kurtosis,0.00010442958342542497,5.887013372671743e-05
shd_moderate_or_greater_flag,V6_zcr,V6,zcr,0.00021560762843040316,0.0001273730138734983
shd_moderate_or_greater_flag,V6_lf_power,V6,lf_power,0.002042229356189096,0.00028498351411567353
shd_moderate_or_greater_flag,V6_ecg_band_power,V6,ecg_band_power,0.00041424878565807786,0.00014931124576316756
shd_moderate_or_greater_flag,V6_hf_power,V6,hf_power,0.00022639754157733895,0.00011190291729415273
shd_moderate_or_greater_flag,V6_total_power,V6,total_power,5.677095645135743e-05,7.787585546810033e-05
shd_moderate_or_greater_flag,V6_dominant_freq,V6,dominant_freq,0.0002747805796813552,6.814095487294862e-05
shd_moderate_or_greater_flag,V6_spectral_entropy,V6,spectral_entropy,0.0005239398815015228,0.00038550857747315296
lvef_lte_45_flag,sex,tabular,sex,0.006331752739423125,0.0013438177376331616
lvef_lte_45_flag,ventricular_rate,tabular,ventricular_rate,0.0004988698344061237,0.0002671818351978122
lvef_lte_45_flag,atrial_rate,tabular,atrial_rate,0.0018781632352217637,0.00081518757627204
lvef_lte_45_flag,pr_interval,tabular,pr_interval,0.00019673480418642698,8.460662935078395e-05
lvef_lte_45_flag,qrs_duration,tabular,qrs_duration,0.0016289125841481456,0.00037293854154902303
lvef_lte_45_flag,qt_corrected,tabular,qt_corrected,0.005078435949093319,0.000897476131976297
lvef_lte_45_flag,age_at_ecg,tabular,age_at_ecg,0.008254201267750939,0.0007111874807219414
lvef_lte_45_flag,I_mean,I,mean,0.0021166650287455014,0.0004106747990052798
lvef_lte_45_flag,I_std,I,std,0.0002659574468084402,0.00019993870413850725
lvef_lte_45_flag,I_min,I,min,0.001114257284654263,0.0008024549674805276
lvef_lte_45_flag,I_max,I,max,3.6914647928787404e-05,8.129466714969127e-05
lvef_lte_45_flag,I_rms,I,rms,0.0,0.0
lvef_lte_45_flag,I_energy,I,energy,-1.228440862854896e-05,0.0
lvef_lte_45_flag,I_skewness,I,skewness,7.610191145395185e-05,0.000511451634947224
lvef_lte_45_flag,I_kurtosis,I,kurtosis,0.0004665004176698462,0.00022751482593449222
lvef_lte_45_flag,I_zcr,I,zcr,0.00010122352709933669,0.00019061830117607863
lvef_lte_45_flag,I_lf_power,I,lf_power,0.00013955088202048936,6.105258398493375e-05
lvef_lte_45_flag,I_ecg_band_power,I,ecg_band_power,0.0002212421994005176,5.142408105191385e-05
lvef_lte_45_flag,I_hf_power,I,hf_power,-6.652007272371918e-05,7.692497271727832e-05
lvef_lte_45_flag,I_total_power,I,total_power,8.414819910562698e-06,2.2368589236926914e-05
lvef_lte_45_flag,I_dominant_freq,I,dominant_freq,0.002356395263132005,0.0006079958725698643
lvef_lte_45_flag,I_spectral_entropy,I,spectral_entropy,0.000530993562969817,0.000604813723734423
lvef_lte_45_flag,II_mean,II,mean,0.0009294997788805937,0.0001575351001111654
lvef_lte_45_flag,II_std,II,std,-0.00010982261313940977,6.991156135992671e-05
lvef_lte_45_flag,II_min,II,min,3.734460223077107e-05,8.003025882050232e-05
lvef_lte_45_flag,II_max,II,max,3.2615104908795266e-05,0.0001695924121086941
lvef_lte_45_flag,II_rms,II,rms,4.3179696329409546e-05,3.744407851530305e-05
lvef_lte_45_flag,II_energy,II,energy,0.0,0.0
lvef_lte_45_flag,II_skewness,II,skewness,0.0004968429069823532,0.00019607561335467758
lvef_lte_45_flag,II_kurtosis,II,kurtosis,7.782172866181991e-05,2.5888207162162425e-05
lvef_lte_45_flag,II_zcr,II,zcr,0.00014980836322537884,0.0001667733912366821
lvef_lte_45_flag,II_lf_power,II,lf_power,-0.00019784040096322287,0.0001859305611844545
lvef_lte_45_flag,II_ecg_band_power,II,ecg_band_power,-6.375608078230676e-05,5.918695133724737e-05
lvef_lte_45_flag,II_hf_power,II,hf_power,0.0011906048842808214,0.000509142813529755
lvef_lte_45_flag,II_total_power,II,total_power,0.0003027492506510354,4.463037406644519e-05
lvef_lte_45_flag,II_dominant_freq,II,dominant_freq,-0.00012831064812548476,8.431915532984465e-05
lvef_lte_45_flag,II_spectral_entropy,II,spectral_entropy,1.8426612941491171e-06,4.713756657260385e-05
lvef_lte_45_flag,III_mean,III,mean,0.00010177632548766802,0.0003601104040999882
lvef_lte_45_flag,III_std,III,std,-4.6435064615968356e-05,6.865665755579293e-05
lvef_lte_45_flag,III_min,III,min,1.9347943589975713e-05,0.00013073952774869357
lvef_lte_45_flag,III_max,III,max,0.0002297798633972725,0.00015525828093747022
lvef_lte_45_flag,III_rms,III,rms,3.986290599971021e-05,1.414895127055934e-05
lvef_lte_45_flag,III_energy,III,energy,0.00024016018868846522,0.00010665933812499539
lvef_lte_45_flag,III_skewness,III,skewness,-0.0003078472802319654,0.00027987724840228777
lvef_lte_45_flag,III_kurtosis,III,kurtosis,4.121419094875734e-05,0.0004807595327338522
lvef_lte_45_flag,III_zcr,III,zcr,-8.169131738089419e-06,2.6327496800175048e-05
lvef_lte_45_flag,III_lf_power,III,lf_power,0.000607279740553257,0.0004517020066324986
lvef_lte_45_flag,III_ecg_band_power,III,ecg_band_power,7.247801090854988e-05,0.00018855736928597688
lvef_lte_45_flag,III_hf_power,III,hf_power,0.0001136307798141889,3.186792012443813e-05
lvef_lte_45_flag,III_total_power,III,total_power,-1.8426612943267529e-06,5.5890684320647026e-06
lvef_lte_45_flag,III_dominant_freq,III,dominant_freq,0.0,0.0
lvef_lte_45_flag,III_spectral_entropy,III,spectral_entropy,-2.899120436350433e-05,2.607190285630065e-05
lvef_lte_45_flag,aVR_mean,aVR,mean,0.009690002948258059,0.000910889529353103
lvef_lte_45_flag,aVR_std,aVR,std,0.000380693823399314,8.07172119265407e-05
lvef_lte_45_flag,aVR_min,aVR,min,0.0036597095965799076,0.001181447125866191
lvef_lte_45_flag,aVR_max,aVR,max,0.0012670753279936165,0.0002951040839640203
lvef_lte_45_flag,aVR_rms,aVR,rms,-4.176698933715528e-05,3.4582301263456464e-05
lvef_lte_45_flag,aVR_energy,aVR,energy,-4.7417817306305564e-05,0.00023020213162169503
lvef_lte_45_flag,aVR_skewness,aVR,skewness,-0.00024783794408145265,0.00013046495969801374
lvef_lte_45_flag,aVR_kurtosis,aVR,kurtosis,0.00021479288487047388,7.223049467590169e-05
lvef_lte_45_flag,aVR_zcr,aVR,zcr,5.282295710276053e-05,9.48673348638527e-05
lvef_lte_45_flag,aVR_lf_power,aVR,lf_power,0.0001249938577956744,7.915082899713262e-05
lvef_lte_45_flag,aVR_ecg_band_power,aVR,ecg_band_power,0.002030551324259178,0.0003339408314702191
lvef_lte_45_flag,aVR_hf_power,aVR,hf_power,0.000453417522480426,0.00019297537202574654
lvef_lte_45_flag,aVR_total_power,aVR,total_power,2.763991941423516e-05,2.198445856838701e-05
lvef_lte_45_flag,aVR_dominant_freq,aVR,dominant_freq,0.0003811237777012977,0.00020262674946380693
lvef_lte_45_flag,aVR_spectral_entropy,aVR,spectral_entropy,-3.931010761171194e-06,0.00017533679349995444
lvef_lte_45_flag,aVL_mean,aVL,mean,0.00035858188786779265,0.00011821287763676122
lvef_lte_45_flag,aVL_std,aVL,std,4.60665323570586e-05,8.351026459307513e-05
lvef_lte_45_flag,aVL_min,aVL,min,1.3267161318775145e-05,8.144419323446889e-05
lvef_lte_45_flag,aVL_max,aVL,max,6.940690875136823e-05,2.5802376115890475e-05
lvef_lte_45_flag,aVL_rms,aVL,rms,0.0,0.0
lvef_lte_45_flag,aVL_energy,aVL,energy,4.668075278857487e-06,9.336150557714973e-06
lvef_lte_45_flag,aVL_skewness,aVL,skewness,-0.0008420347894452895,0.00024111124264239624
lvef_lte_45_flag,aVL_kurtosis,aVL,kurtosis,9.888948945957487e-06,9.834231135416638e-05
lvef_lte_45_flag,aVL_zcr,aVL,zcr,-1.3021473146301865e-05,8.144701883451188e-05
