target,tier,method,brier,brier_skill,ece,mce,n_positive,n_total
tr_max_gte_32_flag,demographics,platt,0.06339,0.00951,0.01591,0.03895,187,2721
tr_max_gte_32_flag,demographics,isotonic,0.064,-2e-05,0.02096,0.043,187,2721
shd_moderate_or_greater_flag,tabular_ecg,raw,0.19973,0.18317,0.07121,0.13175,2318,5442
shd_moderate_or_greater_flag,tabular_ecg,platt,0.19288,0.21118,0.02218,0.06444,1159,2721
shd_moderate_or_greater_flag,tabular_ecg,isotonic,0.19446,0.20473,0.03345,0.06112,1159,2721
lvef_lte_45_flag,tabular_ecg,raw,0.11946,0.17913,0.03518,0.0583,962,5442
lvef_lte_45_flag,tabular_ecg,platt,0.11604,0.20261,0.01269,0.02305,481,2721
lvef_lte_45_flag,tabular_ecg,isotonic,0.11686,0.19699,0.02407,0.05934,481,2721
lvwt_gte_13_flag,tabular_ecg,raw,0.14728,0.06165,0.03399,0.06781,1061,5442
lvwt_gte_13_flag,tabular_ecg,platt,0.14725,0.06118,0.0187,0.04821,530,2721
lvwt_gte_13_flag,tabular_ecg,isotonic,0.14791,0.05694,0.01542,0.03898,530,2721
aortic_stenosis_moderate_or_greater_flag,tabular_ecg,raw,0.04523,0.09155,0.00872,0.0228,286,5442
aortic_stenosis_moderate_or_greater_flag,tabular_ecg,platt,0.04616,0.07287,0.00873,0.03199,143,2721
aortic_stenosis_moderate_or_greater_flag,tabular_ecg,isotonic,0.04604,0.07529,0.01009,0.03517,143,2721
aortic_regurgitation_moderate_or_greater_flag,tabular_ecg,raw,0.21618,-17.04421,0.43576,0.68004,66,5442
aortic_regurgitation_moderate_or_greater_flag,tabular_ecg,platt,0.01195,0.0023,0.00683,0.02669,33,2721
aortic_regurgitation_moderate_or_greater_flag,tabular_ecg,isotonic,0.01199,-0.00109,0.0077,0.02307,33,2721
mitral_regurgitation_moderate_or_greater_flag,tabular_ecg,raw,0.0558,0.0394,0.02274,0.08174,337,5442
mitral_regurgitation_moderate_or_greater_flag,tabular_ecg,platt,0.05514,0.04822,0.01705,0.05756,168,2721
mitral_regurgitation_moderate_or_greater_flag,tabular_ecg,isotonic,0.05416,0.06513,0.00593,0.02564,168,2721
tricuspid_regurgitation_moderate_or_greater_flag,tabular_ecg,raw,0.05989,0.01271,0.03343,0.10959,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,tabular_ecg,platt,0.05963,0.01443,0.01226,0.05591,176,2721
tricuspid_regurgitation_moderate_or_greater_flag,tabular_ecg,isotonic,0.0591,0.02316,0.01383,0.06348,176,2721
pulmonary_regurgitation_moderate_or_greater_flag,tabular_ecg,raw,0.0044,-0.2027,0.00567,0.0368,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,tabular_ecg,platt,,,,,10,2721
pulmonary_regurgitation_moderate_or_greater_flag,tabular_ecg,isotonic,,,,,10,2721
rv_systolic_dysfunction_moderate_or_greater_flag,tabular_ecg,raw,0.06526,0.08167,0.03753,0.07212,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,tabular_ecg,platt,0.06427,0.09762,0.01131,0.03152,210,2721
rv_systolic_dysfunction_moderate_or_greater_flag,tabular_ecg,isotonic,0.06431,0.09707,0.01017,0.03277,210,2721
pericardial_effusion_moderate_large_flag,tabular_ecg,raw,0.21052,-15.81648,0.42872,0.6562,69,5442
pericardial_effusion_moderate_large_flag,tabular_ecg,platt,0.0123,0.00302,0.00512,0.01068,34,2721
pericardial_effusion_moderate_large_flag,tabular_ecg,isotonic,0.01385,-0.12218,0.00335,0.00567,34,2721
pasp_gte_45_flag,tabular_ecg,raw,0.10701,0.04409,0.05077,0.10086,699,5442
pasp_gte_45_flag,tabular_ecg,platt,0.10525,0.05864,0.01527,0.05068,349,2721
pasp_gte_45_flag,tabular_ecg,isotonic,0.10577,0.05406,0.01654,0.03954,349,2721
tr_max_gte_32_flag,tabular_ecg,raw,0.22814,-2.55575,0.39897,0.55315,375,5442
tr_max_gte_32_flag,tabular_ecg,platt,0.06321,0.01243,0.01216,0.03357,187,2721
tr_max_gte_32_flag,tabular_ecg,isotonic,0.06285,0.01797,0.00855,0.02867,187,2721
shd_moderate_or_greater_flag,waveform_features,raw,0.18184,0.25632,0.04823,0.09274,2318,5442
shd_moderate_or_greater_flag,waveform_features,platt,0.17848,0.27009,0.02275,0.05998,1159,2721
shd_moderate_or_greater_flag,waveform_features,isotonic,0.18051,0.26175,0.01535,0.06248,1159,2721
lvef_lte_45_flag,waveform_features,raw,0.10488,0.27933,0.03009,0.05082,962,5442
lvef_lte_45_flag,waveform_features,platt,0.09994,0.31327,0.02403,0.03949,481,2721
lvef_lte_45_flag,waveform_features,isotonic,0.10027,0.31096,0.01508,0.04539,481,2721
lvwt_gte_13_flag,waveform_features,raw,0.13875,0.11595,0.02622,0.04447,1061,5442
lvwt_gte_13_flag,waveform_features,platt,0.13639,0.13038,0.0222,0.04336,530,2721
lvwt_gte_13_flag,waveform_features,isotonic,0.13738,0.12405,0.01958,0.04197,530,2721
aortic_stenosis_moderate_or_greater_flag,waveform_features,raw,0.04944,0.00701,0.01455,0.0527,286,5442
aortic_stenosis_moderate_or_greater_flag,waveform_features,platt,0.04847,0.02653,0.0151,0.04159,143,2721
aortic_stenosis_moderate_or_greater_flag,waveform_features,isotonic,0.04778,0.0404,0.00709,0.01406,143,2721
aortic_regurgitation_moderate_or_greater_flag,waveform_features,raw,0.01498,-0.25006,0.04271,0.11696,66,5442
aortic_regurgitation_moderate_or_greater_flag,waveform_features,platt,0.01188,0.00848,0.00606,0.01113,33,2721
aortic_regurgitation_moderate_or_greater_flag,waveform_features,isotonic,0.01191,0.00583,0.00309,0.00541,33,2721
mitral_regurgitation_moderate_or_greater_flag,waveform_features,raw,0.0827,-0.42367,0.15226,0.29909,337,5442
mitral_regurgitation_moderate_or_greater_flag,waveform_features,platt,0.05374,0.07227,0.00561,0.01567,168,2721
mitral_regurgitation_moderate_or_greater_flag,waveform_features,isotonic,0.05405,0.06704,0.00805,0.02197,168,2721
tricuspid_regurgitation_moderate_or_greater_flag,waveform_features,raw,0.09011,-0.48549,0.16946,0.28576,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,waveform_features,platt,0.05611,0.07248,0.00694,0.01955,176,2721
tricuspid_regurgitation_moderate_or_greater_flag,waveform_features,isotonic,0.05616,0.07174,0.00912,0.02113,176,2721
pulmonary_regurgitation_moderate_or_greater_flag,waveform_features,raw,0.14235,-37.87616,0.30741,0.74939,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,waveform_features,platt,,,,,10,2721
pulmonary_regurgitation_moderate_or_greater_flag,waveform_features,isotonic,,,,,10,2721
rv_systolic_dysfunction_moderate_or_greater_flag,waveform_features,raw,0.09001,-0.26659,0.15777,0.28845,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,waveform_features,platt,0.05876,0.17497,0.01032,0.02778,210,2721
rv_systolic_dysfunction_moderate_or_greater_flag,waveform_features,isotonic,0.05928,0.16762,0.01061,0.02737,210,2721
pericardial_effusion_moderate_large_flag,waveform_features,raw,0.179,-13.29872,0.37504,0.67251,69,5442
pericardial_effusion_moderate_large_flag,waveform_features,platt,0.01223,0.00859,0.00421,0.01455,34,2721
pericardial_effusion_moderate_large_flag,waveform_features,isotonic,0.01224,0.00805,0.00179,0.00372,34,2721
pasp_gte_45_flag,waveform_features,raw,0.10183,0.09035,0.03885,0.07304,699,5442
pasp_gte_45_flag,waveform_features,platt,0.10065,0.09982,0.01798,0.03705,349,2721
pasp_gte_45_flag,waveform_features,isotonic,0.10171,0.09031,0.01651,0.04347,349,2721
tr_max_gte_32_flag,waveform_features,raw,0.09573,-0.49199,0.17075,0.29849,375,5442
tr_max_gte_32_flag,waveform_features,platt,0.06101,0.04681,0.01289,0.03012,187,2721
